CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SBAA;PA0008;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA;8° 20' 55'' S;49° 18' 11'' W;199 m;VFR Diurno/Noturno e IFR Diurno;-;-; 08/26;1800 m;30 m;PCN 47/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3953;0;0;0;PA2021-3953;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-;SBAA;BR_publico_Atualizadoem_19JUL2022;-8,348611111;-49,30305556;199;80;1800;30;;;;;;;1
SBAE;SP0010;BAURU/AREALVA;BAURU;SP;22° 9' 28'' S;49° 4' 6'' W;598 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;2010 m;45 m;PCN 42/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4952;0;0;0;PA2021-4952;;;;AP-1;Classe I;3ª;4C;NPA;5;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAE;BR_publico_Atualizadoem_19JUL2022;-22,15777778;-49,06833333;598;170;2010;45;;;;;;;1
SBAQ;SP0012;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP;21° 48' 16'' S;48° 8' 25'' W;711 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1800 m;30 m;PCN 40/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2889;0;0;0;PA2017-2889;;;;AP-0;Classe I;3ª;3C;NPA;11;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAQ;BR_publico_Atualizadoem_19JUL2022;-21,80444444;-48,14027778;711;170;1800;30;;;;;;;1
SBAR;SE0001;SANTA MARIA;ARACAJU;SE;10° 59' 7'' S;37° 4' 24'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 12/30;2200 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3773;0;0;0;PA2020-3773;;;;AP-2;Classe III;2ª;4C;"NPA(11;29)";;PA2022-7303 / PA2020-0406 / PA2021-4220;-;PA2022-7303 / PA2020-0406 / PA2021-4220;-;-;-;-;;-;SBAR;BR_publico_Atualizadoem_19JUL2022;-10,98527778;-37,07333333;7;120;2200;45;;;;;;;1
SBAT;MT0003;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9° 51' 59'' S;56° 6' 18'' W;289 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 04/22;2500 m;30 m;PCN 29/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5745;0;0;0;PA2021-5745;;;;AP-1;Classe I;3ª;4C;NPA;15;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-;SBAT;BR_publico_Atualizadoem_19JUL2022;-9,866388889;-56,105;289;40;2500;30;;;;;;;1
SBAU;SP0009;ARAÇATUBA;ARAÇATUBA;SP;21° 8' 39'' S;50° 25' 35'' W;414 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;2120 m;35 m;PCN 26/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3951;0;0;0;PA2021-3951;;;;AP-1;Classe I;3ª;3C;NPA;32;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAU;BR_publico_Atualizadoem_19JUL2022;-21,14416667;-50,42638889;414;50;2120;35;;;;;;;1
SBAX;MG0008;ROMEU ZEMA;ARAXÁ;MG;19° 33' 38'' S;46° 57' 56'' W;999 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1900 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-1273;0;0;0;PD2005-1273;;;;AP-0;Classe I;3ª;3C;NPA;12;-;PA2016-0908;-;PA2016-0908;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2022-7874;PA2022-7874;;-;SBAX;BR_publico_Atualizadoem_19JUL2022;-19,56055556;-46,96555556;999;150;1900;30;;;;;;;1
SBBE;PA0001;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA;1° 23' 5'' S;48° 28' 44'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 06/24;2800 m;45 m;PCN 65/F/A/X/T;Asfalto; 02/20;1830 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2016-1883;0;0;0;PA2016-1883;;;;AP-2;Classe III;1ª;4E;"PA1(06) / NPA(24;02;20)";;PA2017-3043;-;PA2017-3043;-;-;-;-;X;-;SBBE;BR_publico_Atualizadoem_19JUL2022;-1,384722222;-48,47888889;17;60;2800;45;20;1830;45;;;;2
SBBG;RS0010;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS;31° 23' 27'' S;54° 6' 35'' W;186 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX; 06/24;1500 m;30 m;PCN 18/R/A/Y/T;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2459;0;0;0;PA2018-2459;;;;AP-1;Classe I;3ª;3C;NPA;;PA2022-7436;-;PA2022-7436;-;-;-;-;;-;SBBG;BR_publico_Atualizadoem_19JUL2022;-31,39083333;-54,10972222;186;60;1500;30;;;;;;;1
SBBH;MG0003;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19° 51' 7'' S;43° 57' 2'' W;789 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2364 m;45 m;PCN 44/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1295;0;0;0;PA2017-1295;;;;AP-0;Classe II;2ª;4C;NPA(13)/NINST(31);;PA2018-2829 / PA2019-1481;-;PA2018-2829 / PA2019-1481;-;-;-;-;;-;SBBH;BR_publico_Atualizadoem_19JUL2022;-19,85194444;-43,95055556;789;130;2364;45;;;;;;;1
SBBI;PR0006;BACACHERI;CURITIBA;PR;25° 24' 12'' S;49° 14' 1'' W;932 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1390 m;31 m;PCN 21/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0533;0;0;0;PA2016-0533;;;;AP-0;Classe II;3ª;-;-;-;-;-;-;-;-;-;-;;-;SBBI;BR_publico_Atualizadoem_19JUL2022;-25,40333333;-49,23361111;932;180;1390;31;;;;;;;1
SBBP;SP0036;ESTADUAL ARTHUR SIQUEIRA;BRAGANÇA PAULISTA;SP;22° 58' 45'' S;46° 32' 15'' W;893 m;VFR Diurno/Noturno;-;-; 16/34;1200 m;30 m;PCN 16/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3805;0;0;0;PA2018-3805;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SBBP;BR_publico_Atualizadoem_19JUL2022;-22,97916667;-46,5375;893;160;1200;30;;;;;;;1
SBBR;DF0001;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;DF;15° 52' 16'' S;47° 55' 7'' W;1066 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11L/29R;3200 m;45 m;PCN 76/F/B/X/T;Asfalto; 11R/29L;3300 m;45 m;PCN 68/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2012-2422;0;0;0;PA2012-2422;;;;AP-3;Classe IV;1ª (*);4E;PA1;;PA2015-2416 / PA2016-0553;-;PA2015-2416 / PA2016-0553;-;-;-;-;;-;SBBR;BR_publico_Atualizadoem_19JUL2022;-15,87111111;-47,91861111;1066;110;3200;45;110;3300;45;;;;2
SBBU;SP0017;BAURU;BAURU;SP;22° 20' 37'' S;49° 3' 14'' W;617 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 14/32;1501 m;35 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3676;0;0;0;PA2017-3676;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-;SBBU;BR_publico_Atualizadoem_19JUL2022;-22,34361111;-49,05388889;617;140;1501;35;;;;;;;1
SBBV;RR0001;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;2° 50' 29'' N;60° 41' 32'' W;84 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 08/26;2700 m;45 m;PCN 38/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0273;0;0;0;PA2018-0273;;;;AP-1;Classe II;1ª;4C;PA1;30;-;PA2016-0908 / PA2016-2636;-;PA2016-0908 / PA2016-2636;-;-;-;X;-;SBBV;BR_publico_Atualizadoem_19JUL2022;2,841388889;-60,69222222;84;80;2700;45;;;;;;;1
SBBW;MT0008;BARRA DO GARÇAS;BARRA DO GARÇAS;MT;15° 51' 39'' S;52° 23' 22'' W;350 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1598 m;30 m;PCN 20/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-3033;0;0;0;PA2016-3033;;;;AP-1;Classe I;-;2C;"NPA(07;25)";;PA2018-3446;-;PA2018-3446;-;-;-;-;X;-;SBBW;BR_publico_Atualizadoem_19JUL2022;-15,86083333;-52,38944444;350;70;1598;30;;;;;;;1
SBCA;PR0005;CORONEL ADALBERTO MENDES DA SILVA;CASCAVEL;PR;25° 0' 8'' S;53° 30' 7'' W;759 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1771 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3092;0;0;0;PA2015-3092;;;;AP-1;Classe I;3ª;3C;NPA;94;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBCA;BR_publico_Atualizadoem_19JUL2022;-25,00222222;-53,50194444;759;150;1771;45;;;;;;;1
SBCB;RJ0003;CABO FRIO;CABO FRIO;RJ;22° 55' 15'' S;42° 4' 17'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10/28;2550 m;45 m;PCN 76/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2127;0;0;0;PA2019-2127;;;;AP-1;Classe II;2ª;4E;NPA;;PA2020-1309;-;PA2020-1309;-;-;-;-;;-;SBCB;BR_publico_Atualizadoem_19JUL2022;-22,92083333;-42,07138889;7;100;2550;45;;;;;;;1
SBCD;SC0006;CARLOS ALBERTO DA COSTA NEVES;CAÇADOR;SC;26° 47' 23'' S;50° 56' 23'' W;1029 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1625 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-0406;PA2013-3195;0;0;PD2005-0406;PA2013-3195;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SBCD;BR_publico_Atualizadoem_19JUL2022;-26,78972222;-50,93972222;1029;20;1625;30;;;;;;;1
SBCF;MG0001;TANCREDO NEVES;CONFINS;MG;19° 37' 28'' S;43° 58' 19'' W;829 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 16/34;3600 m;45 m;PCN 75/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2457;0;0;0;PA2018-2457;;;;AP-3;Classe IV;1ª (*);4E;PA1(16) / NPA(34);;PA2015-2165;-;PA2015-2165;-;-;-;-;;-;SBCF;BR_publico_Atualizadoem_19JUL2022;-19,62444444;-43,97194444;829;160;3600;45;;;;;;;1
SBCG;MS0001;CAMPO GRANDE;CAMPO GRANDE;MS;20° 28' 10'' S;54° 40' 13'' W;559 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 06/24;2600 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1884;0;0;0;PA2016-1884;;;;AP-2;Classe III;2ª;4C;PA1(06) / NPA(24);;PA2016-1802;-;PA2016-1802;-;-;-;-;;-;SBCG;BR_publico_Atualizadoem_19JUL2022;-20,46944444;-54,67027778;559;60;2600;45;;;;;;;1
SBCH;SC0003;SERAFIN ENOSS BERTASO;CHAPECÓ;SC;27° 8' 2'' S;52° 39' 43'' W;654 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 11/29;2063 m;45 m;PCN 45/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1997-0587;PA2012-1357;0;0;PD1997-0587;PA2012-1357;;;AP-1;Classe II;2ª;4C;NPA;20;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBCH;BR_publico_Atualizadoem_19JUL2022;-27,13388889;-52,66194444;654;110;2063;45;;;;;;;1
SBCI;MA0003;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;CAROLINA;MA;7° 19' 14'' S;47° 27' 31'' W;172 m;VFR Diurno e IFR Diurno/Noturno;-;-; 11/29;1800 m;45 m;PCN 18/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4951;0;0;0;PA2021-4951;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-;SBCI;BR_publico_Atualizadoem_19JUL2022;-7,320555556;-47,45861111;172;110;1800;45;;;;;;;1
SBCJ;PA0006;CARAJÁS;PARAUAPEBAS;PA;6° 6' 55'' S;50° 0' 5'' W;629 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 10/28;2000 m;45 m;PCN 41/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3204;0;0;0;PA2013-3204;;;;AP-1;Classe I;2ª;4C;PA1;35;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-;SBCJ;BR_publico_Atualizadoem_19JUL2022;-6,115277778;-50,00138889;629;100;2000;45;;;;;;;1
SSIM;SC0009;FORQUILHINHA/CRICIÚMA (SBCM*);FORQUILHINHA;SC;28° 43' 28'' S;49° 25' 17'' W;28 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1491 m;30 m;PCN 22/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-1479;0;0;0;PA2019-1479;;;;AP-0;Classe I;2ª;3C;NPA;19;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SSIM;BR_publico_Atualizadoem_19JUL2022;-28,72444444;-49,42138889;28;90;1491;30;;;;;;;1
SBCN;GO0003;NELSON RODRIGUES GUIMARÃES;CALDAS NOVAS;GO;17° 43' 29'' S;48° 36' 36'' W;685 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;2100 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2007-1408;0;0;0;PA2007-1408;;;;AP-1;Classe I;2ª;4C;NPA;14;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBCN;BR_publico_Atualizadoem_19JUL2022;-17,72472222;-48,61;685;90;2100;30;;;;;;;1
SBCP;RJ0006;BARTOLOMEU LISANDRO;CAMPOS DOS GOYTACAZES;RJ;21° 42' 4'' S;41° 18' 28'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1544 m;45 m;PCN 29/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2768;0;0;0;PA2018-2768;;;;AP-1;Classe I;2ª;3C;NPA;28;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBCP;BR_publico_Atualizadoem_19JUL2022;-21,70111111;-41,30777778;17;70;1544;45;;;;;;;1
SBCR;MS0009;CORUMBÁ;CORUMBÁ;MS;19° 0' 43'' S;57° 40' 17'' W;141 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 09/27;1500 m;45 m;PCN 71/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0668;0;0;0;PA2016-0668;;;;AP-1;Classe I;2ª;4C;NPA;6;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBCR;BR_publico_Atualizadoem_19JUL2022;-19,01194444;-57,67138889;141;90;1500;45;;;;;;;1
SBCT;PR0001;AFONSO PENA;CURITIBA;PR;25° 31' 54'' S;49° 10' 34'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;2218 m;45 m;PCN 42/F/A/X/T;Asfalto; 11/29;1798 m;45 m;PCN 33/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2013-3007;0;0;0;PA2013-3007;;;;AP-3;Classe IV;1ª;4E;"PA2(15) / PA1(33)/ NPA(11;29)";;PA2022-7675;-;PA2022-7675;-;-;-;-;;-;SBCT;BR_publico_Atualizadoem_19JUL2022;-25,53166667;-49,17611111;911;150;2218;45;110;1798;45;;;;2
SBCX;RS0007;HUGO CANTERGIANI;CAXIAS DO SUL;RS;29° 11' 44'' S;51° 11' 23'' W;754 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1670 m;30 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3509;0;0;0;PA2017-3509;;;;AP-1;Classe I;3ª;4C;NPA;31;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBCX;BR_publico_Atualizadoem_19JUL2022;-29,19555556;-51,18972222;754;150;1670;30;;;;;;;1
SBCY;MT0001;MARECHAL RONDON;VÁRZEA GRANDE;MT;15° 39' 0'' S;56° 7' 3'' W;188 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL CARGA; 17/35;2300 m;45 m;PCN 56/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2575;0;0;0;PA2018-2575;;;;AP-2;Classe III;1ª;4C;PA1(35) / NPA(17);Ver Portaria;-;PA2016-1044;-;PA2016-1044;-;-;-;X;-;SBCY;BR_publico_Atualizadoem_19JUL2022;-15,65;-56,1175;188;170;2300;45;;;;;;;1
SSCL;MS0018;CASSILÂNDIA;CASSILÂNDIA;MS;19° 8' 49'' S;51° 40' 35'' W;481 m;VFR Diurno;-;-; 13/31;1081 m;18 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1340;0;0;0;PA2017-1340;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSCL;BR_publico_Atualizadoem_19JUL2022;-19,14694444;-51,67638889;481;130;1081;18;;;;;;;1
SBDB;MS0004;BONITO;BONITO;MS;21° 14' 50'' S;56° 27' 9'' W;334 m;VFR Diurno/Noturno;-;-; 18/36;2000 m;30 m;PCN 48/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1122;0;0;0;PA2015-1122;;;;AP-1;Classe I;3ª;4C;NINST;5;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBDB;BR_publico_Atualizadoem_19JUL2022;-21,24722222;-56,4525;334;180;2000;30;;;;;;;1
SBDN;SP0005;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP;22° 10' 42'' S;51° 25' 8'' W;452 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;2100 m;35 m;PCN 38/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1108;0;0;0;PA2016-1108;;;;AP-1;Classe II;3ª;4C;NPA;19;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBDN;BR_publico_Atualizadoem_19JUL2022;-22,17833333;-51,41888889;452;120;2100;35;;;;;;;1
SBDO;MS0008;DOURADOS;DOURADOS;MS;22° 12' 2'' S;54° 55' 32'' W;458 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1950 m;30 m;PCN 28/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3397;0;0;0;PA2013-3397;;;;AP-1;Classe I;2ª;3C;NPA;42;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBDO;BR_publico_Atualizadoem_19JUL2022;-22,20055556;-54,92555556;458;60;1950;30;;;;;;;1
SBEG;AM0001;EDUARDO GOMES;MANAUS;AM;3° 2' 28'' S;60° 3' 2'' W;80 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11/29;2700 m;45 m;PCN 71/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2012-1425;PA2022-7517;0;0;PA2012-1425;PA2022-7517;;;AP-2;Classe III;1ª;4E;PA1(11) / NPA(29);;PA2022-6894;-;PA2022-6894;-;-;-;-;X;-;SBEG;BR_publico_Atualizadoem_19JUL2022;-3,041111111;-60,05055556;80;110;2700;45;;;;;;;1
SBEK;PA0011;JACAREACANGA;JACAREACANGA;PA;6° 14' 7'' S;57° 46' 33'' W;90 m;VFR Diurno e IFR Diurno;-;-; 08/26;1600 m;30 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2419;0;0;0;PA2020-2419;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2021-4427;PA2021-4427;X;-;SBEK;BR_publico_Atualizadoem_19JUL2022;-6,235277778;-57,77583333;90;80;1600;30;;;;;;;1
SBFI;PR0002;CATARATAS;FOZ DO IGUAÇU;PR;25° 36' 1'' S;54° 29' 6'' W;240 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;2195 m;45 m;PCN 51/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1182;0;0;0;PA2014-1182;;;;AP-2;Classe III;2ª;4C;PA1(15)/NPA(33);;PA2022-7623;-;PA2022-7623;-;-;-;-;;-;SBFI;BR_publico_Atualizadoem_19JUL2022;-25,60027778;-54,485;240;150;2195;45;;;;;;;1
SBFL;SC0001;HERCÍLIO LUZ;FLORIANÓPOLIS;SC;27° 40' 13'' S;48° 33' 9'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 14/32;2400 m;45 m;PCN 78/F/A/X/T;Asfalto; 03/21;1320 m;45 m;PCN 26/R/B/X/T;Concreto;-;-;-;-;-;-;-;-;-;-;PA2017-3540;0;0;0;PA2017-3540;;;;AP-2;Classe III;1ª;"4E(14/32); 2B(03/21)";" PA1(14)/ NPA(32)/NINST(03;21)";;PA2018-3994 / PA2019-3004;-;PA2018-3994 / PA2019-3004;-;-;-;-;;-;SBFL;BR_publico_Atualizadoem_19JUL2022;-27,67027778;-48,5525;5;140;2400;45;30;1320;45;;;;2
SBFN;PE0003;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE;3° 51' 17'' S;32° 25' 42'' W;58 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;1845 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2251;0;0;0;PA2018-2251;;;;AP-1;Classe II;2ª;4C;NPA;37;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBFN;BR_publico_Atualizadoem_19JUL2022;-3,854722222;-32,42833333;58;120;1845;45;;;;;;;1
SBFZ;CE0001;PINTO MARTINS;FORTALEZA;CE;3° 46' 33'' S;38° 31' 56'' W;25 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 13/31;2755 m;45 m;PCN 66/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3262;0;0;0;PA2018-3262;;;;AP-2;Classe IV;1ª;4E;PA1(13) / NPA(31);;PA2018-3869 / PA2020-2509;-;PA2018-3869 / PA2020-2509;-;-;-;-;;-;SBFZ;BR_publico_Atualizadoem_19JUL2022;-3,775833333;-38,53222222;25;130;2755;45;;;;;;;1
